股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SZ000524,岭南控股,9.98,-0.14,-1.38,33.96,6626300,66350737,0.99,,0,6688681798
SH688262,国芯科技,55.9,5.17,10.19,33.88,6787492,377024882,12.17,104.757,0.447,13416000000
SH688046,药康生物,30.16,0.17,0.57,33.87,452181,13585360,1.06,77.178,0,12365600000
SZ002703,浙江世宝,8.46,-0.07,-0.82,33.86,19351876,163800870.66,3.5,11786.3,0,6680393629
SH600121,郑州煤电,6.39,-0.06,-0.93,33.68,73600077,472722797,6.04,,0,7785652923
SH600190,锦州港,3.78,-0.09,-2.33,33.47,106983487,400071700,6.01,72.977,0.529,7568661870
SZ000546,金圆股份,17.86,0.38,2.17,33.17,25610402,455854917.44,3.6,,0.112,13944765841
SZ300403,汉宇集团,8.65,-0.07,-0.8,33.05,49274756,429560382.22,12.56,25.077,0.925,5215950000
SZ000517,荣安地产,3.12,0.03,0.97,33.02,36781850,114053027.98,1.47,9.453,5.128,9933838153
SH605108,同庆楼,23.9,0.8,3.46,32.73,2685570,64352686,3.29,66.034,1.172,6214000000
SZ002537,海联金汇,9.42,0.86,10.05,32.68,157985819,1419980789.76,13.46,53.149,0,11059237738
SH605333,沪光股份,27.4,0.5,1.86,32.5,2096900,57946547,3.35,,0,11967664619
SZ002562,兄弟科技,6.6,-0.36,-5.17,32.26,88198840,592308069.4,12.6,26.232,0,7015161635
SZ300427,红相股份,17.54,0.64,3.79,31.68,5071811,88455553.18,1.58,,0,6345222393
SH600975,新五丰,8.93,-0.23,-2.51,31.52,19473756,174692907,2.98,,0,7189015835
SZ300505,川金诺,26.69,-0.26,-0.96,31.39,7167672,191184283.82,4.35,17.282,0.5,5997005432
SZ002446,盛路通信,7.94,-0.11,-1.37,31.24,21782600,174234113.22,2.61,,0,7210163807
SH603299,苏盐井神,12.4,-0.15,-1.2,31.23,17831989,222598186,2.31,14.158,1.21,9711041958
SH603555,贵人鸟,3.64,-0.06,-1.62,30.94,11393900,41663289,0.73,,0,5720279503
SH600381,青海春天,11.03,-0.2,-1.78,30.84,7487816,82574760,1.28,,0,6475279973
SH603035,常熟汽饰,22.69,1.1,5.09,30.7,12274354,274855989,3.23,21.176,1.541,8622901870
SZ000567,海德股份,15.68,0.44,2.89,30.39,8033070,125807550.05,0.87,24.857,1.966,14576934611
SZ000915,华特达因,38.7,-0.76,-1.93,30.38,2655778,103162237,1.13,19.901,2.067,9068628470
SH688327,云从科技-UW,20,0.24,1.21,30.12,2932082,58722542,3.94,,0,14813411240
SZ300109,新开源,27.32,0.05,0.18,29.9,11252130,306885666.09,3.91,26.503,1.842,9428650616
SZ002057,中钢天源,11.77,0.11,0.94,29.8,18013947,210394770.31,2.41,29.084,1.181,8933992324
SH688123,聚辰股份,87.76,0.49,0.56,29.65,1401619,123493179,1.67,55.548,0.308,10605082248
SH605399,晨光新材,39.2,1.75,4.67,29.59,7395439,290891774,8.74,12.001,0.981,9417917600
SH688400,凌云光,28.4,0.91,3.31,29.5,6384450,180550704,7.66,69.496,0,13163400000
SZ000726,鲁泰A,8.27,0.17,2.1,29.49,13617592,112174325.28,2.39,12.487,0.846,7343273319
SZ000557,西部创业,5.44,-0.19,-3.37,29.22,52295621,289043317.26,3.59,35.082,0,7933558558
SZ002768,国恩股份,33.06,-0.85,-2.51,29.2,6335497,210432429.09,3.58,13.388,0.756,8967525000
SZ300596,利安隆,57.29,-0.2,-0.35,28.85,3066051,175461095.9,1.54,26.017,0.477,13154910722
SZ300910,瑞丰新材,100.89,1.51,1.52,28.8,1444166,146921473.72,2.11,62.239,0.793,15133500000
SH600620,天宸股份,11.81,-0.21,-1.75,28.71,4928067,58680034,0.72,,0.466,8109656705
SZ000025,特力A,19.24,0.07,0.37,28.71,6210481,118995181.28,1.58,63.817,0.13,8293562077
SZ002011,盾安环境,17.63,0.4,2.32,28.69,21850317,384708624.99,2.39,21.883,0,16170450733
SZ002047,宝鹰股份,5.08,0.33,6.95,28.61,69956480,350300025.19,5.24,,0,7702543360
SH600784,鲁银投资,8.1,-0.02,-0.25,28.41,5401225,43852983,0.95,17.684,0.432,5472783444
