股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SZ002575,群兴玩具,6.91,-0.23,-3.22,58.12,32250824,225924285.53,5.48,338.078,0,4275355200
SH603636,南威软件,14.02,0.45,3.32,57.98,19136376,265350285,3.24,95.26,0.606,8282925964
SZ002112,三变科技,12.74,0.69,5.73,57.66,70666647,901929098.51,35.55,103.883,0.157,2568384000
SZ300249,依米康,11.34,-0.24,-2.07,57.57,52183910,594824012.9,17.03,92.005,0.176,4960912000
SZ000820,神雾节能,5.34,-0.3,-5.32,57.52,68202929,365607401.54,23.71,135.742,0,3402889485
SZ300856,科思股份,66,3.15,5.01,57.5,2748149,179288331.66,4.66,57.833,0.303,11175120000
SZ003031,中瓷电子,94.02,-2.97,-3.06,57.38,2229573,210810827.91,3.21,137.562,0.114,19656447937
SH603876,鼎胜新材,59.05,1.43,2.48,57.33,7244511,428375587,1.49,33.107,0.338,28961509647
SZ002518,科士达,38.93,-0.48,-1.22,56.82,28409739,1127523205.41,5.03,54.993,0.642,22674599188
SZ002175,东方网络,3.84,0.05,1.32,56.73,116583584,448971672.13,9.13,9.225,0,4902837992
SZ000756,新华制药,17.4,-0.46,-2.58,56.71,13964417,243758157.02,3.2,33.984,0.862,11651513889
SH601088,中国神华,32.56,1.9,6.2,56.47,49412806,1589086986,0.3,9.894,7.801,646919009735
SH600400,红豆股份,5.81,-0.05,-0.85,56.36,30335732,178104929,1.32,249.801,1.119,13380556960
SH603529,爱玛科技,50.4,0.4,0.8,55.89,3829844,193912253,2.62,27.85,0.709,28964880202
SZ301136,招标股份,16.32,0.09,0.55,55.83,2806555,45475854.58,4.73,56.9,0.613,4491342662
SH601699,潞安环能,16.78,0.9,5.67,55.66,48068052,796440668,1.61,5.438,4.011,50195846376
SZ002219,恒康医疗,4.17,0.08,1.96,55.58,14855240,61610031.76,0.46,,0,13611562850
SH600780,通宝能源,6.34,0.16,2.59,55.39,12186900,76878833,1.06,13.589,0,7268825996
SH600325,华发股份,8.79,0.23,2.69,55.18,65689947,574050928,3.1,5.549,5.233,18609846210
SZ300763,锦浪科技,239.52,10.75,4.7,55.16,4889033,1162038268.62,1.66,140.313,0,88943362548
SZ000716,黑芝麻,5.3,0.22,4.33,54.97,190730318,968558904.33,27.41,,0,3943197615
SH603363,傲农生物,19.68,-0.87,-4.23,54.96,35302768,691387311,4.86,,0,17153887441
SH603606,东方电缆,78.75,4.67,6.3,54.9,10637602,829230156,1.55,50.424,0.444,54157585230
SZ002207,准油股份,8.81,0.8,9.99,54.83,37688477,320017366.25,14.49,63.948,0,2308707880
SZ002068,黑猫股份,16.25,0.25,1.56,54.76,21750551,355525043.49,2.99,307.565,0,12156943435
